"Plot Title: Temp_C1"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20218130, SEN S/N: 20218130)","RH, % (LGR S/N: 20218130, SEN S/N: 20218130)","Started (LGR S/N: 20218130)","Button Up (LGR S/N: 20218130)","Host Connected (LGR S/N: 20218130)","Button Down (LGR S/N: 20218130)","Stopped (LGR S/N: 20218130)","End Of File (LGR S/N: 20218130)"
1,09/12/17 02:43:29 PM,25.676,54.900,Logged,,,,,
2,09/12/17 02:43:30 PM,,,,Logged,,,,
3,09/12/17 02:44:29 PM,25.920,49.593,,,,,,
4,09/12/17 02:45:29 PM,25.603,48.272,,,,,,
5,09/12/17 02:45:49 PM,,,,,Logged,,,
6,09/12/17 02:46:27 PM,,,,,,Logged,,
7,09/12/17 02:46:29 PM,25.506,56.042,,,,,,
8,09/12/17 02:46:30 PM,,,,,,,Logged,
9,09/12/17 02:52:32 PM,,,Logged,,,,,
10,09/12/17 02:52:33 PM,,,,Logged,,,,
11,09/12/17 02:53:29 PM,25.531,50.867,,,,,,
12,09/12/17 02:54:29 PM,25.361,50.331,,,,,,
13,09/12/17 02:55:29 PM,25.142,50.714,,,,,,
14,09/12/17 02:56:29 PM,24.997,52.340,,,,,,
15,09/12/17 02:56:30 PM,,,,,,Logged,,
16,09/12/17 02:56:32 PM,,,,Logged,,,,
17,09/12/17 02:56:34 PM,,,,,,Logged,,
18,09/12/17 02:56:37 PM,,,,,,,Logged,
19,09/12/17 03:38:49 PM,,,Logged,,,,,
20,09/12/17 03:38:50 PM,,,,Logged,,,,
21,09/12/17 03:39:29 PM,24.658,59.551,,,,,,
22,09/12/17 03:40:29 PM,24.731,59.044,,,,,,
23,09/12/17 03:41:29 PM,24.803,58.315,,,,,,
24,09/12/17 03:42:29 PM,24.779,56.582,,,,,,
25,09/12/17 03:43:29 PM,24.755,56.337,,,,,,
26,09/12/17 03:44:29 PM,24.755,56.146,,,,,,
27,09/12/17 03:45:29 PM,24.755,56.255,,,,,,
28,09/12/17 03:46:29 PM,24.755,56.365,,,,,,
29,09/12/17 03:47:29 PM,24.779,56.484,,,,,,
30,09/12/17 03:48:29 PM,24.779,56.610,,,,,,
31,09/12/17 03:49:29 PM,24.755,56.870,,,,,,
32,09/12/17 03:50:29 PM,24.755,56.956,,,,,,
33,09/12/17 03:51:29 PM,24.755,57.305,,,,,,
34,09/12/17 03:52:29 PM,24.755,57.261,,,,,,
35,09/12/17 03:53:29 PM,24.779,57.462,,,,,,
36,09/12/17 03:54:29 PM,24.803,58.033,,,,,,
37,09/12/17 03:55:29 PM,24.755,57.349,,,,,,
38,09/12/17 03:56:29 PM,24.755,57.305,,,,,,
39,09/12/17 03:57:29 PM,24.706,57.361,,,,,,
40,09/12/17 03:58:29 PM,24.634,57.646,,,,,,
41,09/12/17 03:59:29 PM,24.610,57.849,,,,,,
42,09/12/17 04:00:29 PM,24.586,58.085,,,,,,
43,09/12/17 04:01:29 PM,24.537,58.267,,,,,,
44,09/12/17 04:02:29 PM,24.489,57.985,,,,,,
45,09/12/17 04:03:29 PM,24.417,57.971,,,,,,
46,09/12/17 04:04:29 PM,24.368,58.075,,,,,,
47,09/12/17 04:05:29 PM,24.320,58.256,,,,,,
48,09/12/17 04:06:29 PM,24.296,58.403,,,,,,
49,09/12/17 04:07:29 PM,24.248,58.509,,,,,,
50,09/12/17 04:08:29 PM,24.248,58.557,,,,,,
51,09/12/17 04:09:29 PM,24.248,58.813,,,,,,
52,09/12/17 04:10:26 PM,,,,,,Logged,,
53,09/12/17 04:10:29 PM,,,,,,,Logged,
54,09/13/17 09:03:55 AM,,,Logged,,,,,
55,09/13/17 09:04:29 AM,22.901,41.331,,,,,,
56,09/13/17 09:04:30 AM,,,,Logged,,,,
57,09/13/17 09:05:29 AM,22.709,37.784,,,,,,
58,09/13/17 09:06:29 AM,22.254,36.667,,,,,,
59,09/13/17 09:07:29 AM,22.421,49.240,,,,,,
60,09/13/17 09:08:29 AM,22.781,46.225,,,,,,
61,09/13/17 09:09:29 AM,23.862,45.475,,,,,,
62,09/13/17 09:10:29 AM,23.333,40.997,,,,,,
63,09/13/17 09:11:29 AM,23.093,41.785,,,,,,
64,09/13/17 09:12:29 AM,22.230,43.666,,,,,,
65,09/13/17 09:13:29 AM,21.489,43.174,,,,,,
66,09/13/17 09:14:29 AM,20.892,42.966,,,,,,
67,09/13/17 09:15:29 AM,20.392,43.049,,,,,,
68,09/13/17 09:16:29 AM,20.011,42.755,,,,,,
69,09/13/17 09:17:29 AM,19.654,42.414,,,,,,
70,09/13/17 09:18:29 AM,19.297,42.003,,,,,,
71,09/13/17 09:19:29 AM,19.035,41.567,,,,,,
72,09/13/17 09:20:29 AM,18.798,41.384,,,,,,
73,09/13/17 09:21:29 AM,18.607,41.270,,,,,,
